age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,diet_quality_ord,internet_quality_ord,parental_education_level_ord,gender_Male,gender_Other,part_time_job_Yes,extracurricular_participation_Yes,study_attendance_interaction,total_social_hours,social_to_study_ratio,sleep_study_ratio,exam_score
1.5180248110189407,0.3064389710473011,-0.1753658272928207,0.6330846269931194,-1.0039549015139912,1.0849564979873316,1.4611664362363692,-1.559339234860473,-0.2661749954437323,0.984196088297824,0.4676767797480234,True,False,False,False,-0.0018199503524925,0.2969341934459107,-0.1945787329675812,-0.0981739533200493,77.8
0.2176037850175633,2.2135941587166585,0.3366511867008159,0.1677865033762448,-0.4397977529592073,-0.8730069542794527,-1.5026600064337508,0.5488255711699098,-0.2661749954437323,-0.392301937293538,-0.6814062171758669,False,False,False,False,1.8716134099803043,0.3594729873477455,-0.6490779504124562,-1.0308279696768363,96.2
-0.2158698903162291,-0.034124455322227,0.4219873556997554,0.7261442517164944,-0.9826659525119236,0.6770474454317514,-0.0207467850986907,-0.5052568318452817,-0.2661749954437323,0.984196088297824,-0.6814062171758669,False,False,False,False,-0.2818416985425291,0.7972445446605865,0.1950589269130331,-0.0312933264575847,70.7
1.0845511356851485,-0.034124455322227,-1.455408362276912,-1.1350482427510038,0.53949390113589,1.003374687476216,-1.5026600064337508,-0.5052568318452817,1.1129700586688698,0.984196088297824,-0.6814062171758669,False,False,False,False,0.1005618075123501,-1.8293847992164616,-1.0834396445702326,0.0642504262030791,84.2
-1.0828172409838142,-1.4644908460742454,0.7633320316955131,-1.6934059910912531,0.614005222643126,-1.5256614383683815,-1.5026600064337508,1.6029079741851011,-0.2661749954437323,-1.7687999628849,-0.6814062171758669,False,False,False,True,-1.3231558611842784,-0.5786089211797719,0.4309723537938739,0.2851953542308636,55.1
1.0845511356851485,0.578889712142924,-0.5167105032885784,-0.948928993304254,0.0711370230904082,1.4928655505429125,-1.0086889326553974,-0.8566176328503455,1.1129700586688698,-0.392301937293538,-0.6814062171758669,False,False,False,False,0.5660167843128152,-1.0163804784926131,-0.824695886055762,-0.1228560894240542,76.9
-1.5162909163176066,-0.9877020491569058,0.1659788487029373,-0.3905712449640047,-0.716554089986082,-1.7704068699017297,0.967195362458016,-0.5052568318452817,1.1129700586688698,0.984196088297824,1.6167597766719135,False,False,False,True,-1.0429049001034996,-0.1408373638669307,0.3020914494104803,-0.2840219625277275,39.9
-1.0828172409838142,0.6470023974168293,-0.4313743342896389,-0.5766904944107545,-0.2056193139364664,-0.1387706596794088,0.967195362458016,-0.1538960308402178,-0.2661749954437323,0.984196088297824,-0.6814062171758669,True,False,True,True,0.5414146007064871,-0.7036865089834407,-0.7126197125815796,-0.5437552725465995,84.4
-0.2158698903162291,1.1237911943341687,1.6166937216849078,-1.2281078674743788,-0.2694861609426693,-0.2203524701905246,-1.0086889326553974,-0.5052568318452817,-0.2661749954437323,-1.7687999628849,-0.6814062171758669,False,False,False,False,0.9572067845128118,0.3594729873477455,-0.4270062382441471,-0.7000995950822312,74.0
0.2176037850175633,-0.3746878816917552,-0.2607019962917599,0.4469653775463694,-0.8123543604953856,-0.3019342807016411,-0.514717858877044,-0.8566176328503455,-1.6453200495563345,-0.392301937293538,1.6167597766719135,True,False,False,False,-0.5313017279669414,0.1093178117404074,0.0314415502053533,-0.1357943059301858,49.1
